Item,Number,PPU,Link,Price
Rotary Potentiometer,2,0.695,https://www.aliexpress.com/item/1005010478158526.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%202.96%21GBP%201.39%21%21GBP%201.39%21%21%21%402103963717700208171182581e9760%2112000052539179819%21ct%21UK%216982223242%21%211%210%21,1.39
M3 Thread inserts,10,0.334,https://www.aliexpress.com/item/1005006472962973.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%203.67%21GBP%203.34%21%21GBP%203.34%21%21%21%402103963717700208171182581e9760%2112000037324316041%21ct%21UK%216982223242%21%211%210%21,3.34
M3 Bolts,10,0.099,https://www.aliexpress.com/item/1005007197683325.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%206.73%21GBP%200.99%21%21GBP%200.99%21%21%21%402103963717700208171182581e9760%2112000039772607215%21ct%21UK%216982223242%21%211%210%21,0.99
CA Glue,1,2.09,https://www.aliexpress.com/item/1005008583356354.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%204.55%21GBP%202.09%21%21GBP%202.09%21%21%21%402103963717700208171182581e9760%2112000045835111510%21ct%21UK%216982223242%21%211%210%21,2.09
1N4007 Diodes,28,0.093214286,https://www.aliexpress.com/item/1005009923993443.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%205.94%21GBP%202.61%21%21GBP%202.61%21%21%21%402103963717700208171182581e9760%2112000050589990296%21ct%21UK%216982223242%21%211%210%21,2.61
Keycaps,18,0.206111111,https://www.aliexpress.com/item/1005005305167568.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%203.71%21GBP%203.71%21%21GBP%203.71%21%21%21%402103963717700208171182581e9760%2112000032563126440%21ct%21UK%216982223242%21%211%210%21,3.71
Keyswitches,18,0.288333333,https://www.aliexpress.com/item/1005006605714880.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%205.61%21GBP%205.19%21%21GBP%205.19%21%21%21%402103963717700208171182581e9760%2112000037802446218%21ct%21UK%216982223242%21%211%210%21,5.19
TCA9548,2,0.96,https://www.aliexpress.com/item/1005006963196608.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%200.96%21GBP%200.96%21%21GBP%200.96%21%21%21%402103963717700208171182581e9760%2112000052698779024%21ct%21UK%216982223242%21%212%210%21,1.92
3mm Red LED,10,0.068,https://www.aliexpress.com/item/32873361284.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%200.83%21GBP%200.68%21%21GBP%200.68%21%21%21%402103963717700208171182581e9760%2112000029313092012%21ct%21UK%216982223242%21%211%210%21,0.68
Slide Potemtiometer,10,0.839,https://www.aliexpress.com/item/1005007005403318.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%209.32%21GBP%208.39%21%21GBP%208.39%21%21%21%402103963717700208171182581e9760%2112000039026845342%21ct%21UK%216982223242%21%211%210%21,8.39
"0.91"" OLED",10,0.95,https://www.aliexpress.com/item/32798439084.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%200.95%21GBP%200.95%21%21GBP%200.95%21%21%21%402103963717700208171182581e9760%2165611003506%21ct%21UK%216982223242%21%2110%210%21,9.5
MCP23017,2,1.69,https://www.aliexpress.com/item/1005004670859491.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%201.92%21GBP%201.69%21%21GBP%201.69%21%21%21%402103963717700208171182581e9760%2112000030048887058%21ct%21UK%216982223242%21%212%210%21,3.38
XIAO RP2040,1,6.05,https://www.aliexpress.com/item/1005008484816031.html?spm=a2g0o.cart.0.0.6d3a38daH7PGEO&mp=1&pdp_npi=6%40dis%21GBP%21GBP%206.37%21GBP%206.05%21%21GBP%206.05%21%21%21%402103963717700208171182581e9760%2112000045350593561%21ct%21UK%216982223242%21%211%210%21,6.05
PCB,1,1.49,JLC PCB,1.49
Case Top L,1,,Printed by legion,
Case Top R,1,,Printed by legion,
Case Bottom L,1,,Printed by legion,
Case Bottom M,1,,Printed by legion,
Case Bottom R,1,,Printed by legion,
